FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
255318,MB-1980-5-2-53-80,MB, ,5-2-53-80, ,52.004600000000003,-95.518100000000004,1980,6,22,1980-06-22 00:00:00,,1980-07-15 00:00:00,640.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255319,MB-1980-5-1-16-80,MB, ,5-1-16-80, ,50.607700000000001,-95.183999999999997,1980,6,22,1980-06-22 00:00:00,,1980-08-01 00:00:00,677.299999999999950,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255341,MB-1980-7-4-7-80,MB, ,7-4-7-80, ,52.441099999999999,-101.620000000000000,1980,5,19,1980-05-19 00:00:00,,1980-09-26 00:00:00,69375.000000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255378,MB-1977-6-8-9-77,MB, ,6-8-9-77, ,51.800899999999999,-99.193700000000007,1977,4,20,1977-04-20 00:00:00,,1977-05-07 00:00:00,403.899999999999980,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255384,MB-1977-6-8-19-77,MB, ,6-8-19-77, ,51.771799999999999,-99.217299999999994,1977,9,13,1977-09-13 00:00:00,,1977-09-26 00:00:00,809.299999999999950,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255393,MB-1980-6-8-14-80,MB, ,6-8-14-80, ,51.771799999999999,-99.240899999999996,1980,5,3,1980-05-03 00:00:00,,1980-05-07 00:00:00,202.300000000000010,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255399,MB-1980-6-8-23-80,MB, ,6-8-23-80, ,51.873699999999999,-98.626900000000006,1980,5,17,1980-05-17 00:00:00,,1980-06-03 00:00:00,222.500000000000000,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255406,MB-1981-7-2-1-81,MB, ,7-2-1-81, ,51.553600000000003,-99.719499999999996,1981,4,15,1981-04-15 00:00:00,,1981-04-15 00:00:00,279.100000000000020,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255415,MB-1981-7-2-32-81,MB, ,7-2-32-81, ,51.942799999999998,-99.494799999999998,1981,5,18,1981-05-18 00:00:00,,1981-06-19 00:00:00,711.200000000000050,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255422,MB-1977-4-6-17-77,MB, ,4-6-17-77, ,50.591000000000001,-100.012400000000000,1977,4,29,1977-04-29 00:00:00,,1977-05-11 00:00:00,201.800000000000010,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255436,MB-1977-6-8-13-77,MB, ,6-8-13-77, ,51.771799999999999,-98.319900000000004,1977,4,30,1977-04-30 00:00:00,,1977-05-07 00:00:00,323.600000000000020,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255450,MB-1980-6-8-12-80,MB, ,6-8-12-80, ,51.800899999999999,-98.556100000000001,1980,4,29,1980-04-29 00:00:00,,1980-05-07 00:00:00,242.699999999999990,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255558,MB-1976-6-7-3-76,MB, ,6-7-3-76, ,51.477200000000003,-98.172700000000006,1976,8,21,1976-08-21 00:00:00,,1976-11-10 00:00:00,8818.899999999999600,N,N, , ,Intensive, , , , ,2008-07-24 00:00:00
255561,MB-1976-6-5-13-76,MB, ,6-5-13-76, ,50.793500000000002,-97.330100000000002,1976,9,16,1976-09-16 00:00:00,,1976-11-07 00:00:00,655.500000000000000,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
255565,MB-1976-6-10-8-76,MB, ,6-10-8-76, ,50.598199999999999,-97.516000000000005,1976,9,18,1976-09-18 00:00:00,,1976-11-17 00:00:00,258.899999999999980,H,H, , ,Intensive, , , , ,2008-07-24 00:00:00
